skill,count
Java,5668
C++,4615
Python,3577
Back-end,3371
CircuitDesign,3077
C,2943
CAD,2784
SpringBoot,2694
ElectricalDesign,2544
MySQL,2392
WebFront-end,2309
VisualDesign,2270
PCB design,2247
PS,2247
SpringCloud,2228
Vue,2152
SQL,2128
EmbeddedHardware,1745
Linux,1725
JavaScript,1704
Mandarin, 1618
SolidWorks,1605
DataAnalysis,1519
RequirementsAnalysis,1490
ProductPlanning,1411
React,1407
Oracle,1398
CommunityOperations,1390
MerchantOperations,1366
StructuralDesign,1358
AI,1357
EmbeddedSoftware,1324
ProductOperations,1275
PLC,1255
CSS,1231
ProductDesign,1216
WebDesign,1214
ContentOperations,1213
PLCprogramming,1178
MarketResearch,1166
MicroservicesArchitecture,1151
Autocad,1150
GraphicDesign,1147
InternetCustomerService,1145
FMCGe-commerce,1084
Springmvc,1050
UIdesign,1034
Brand_Design,1025
Html5,1021
EventOperations,1017
