gender,co_city,Industry,ifdisc,DiscTypesMeet,resType,disc_think,DiscThinkTypes,4.Please select the specific category in which your job falls within the finance industry (请选择您的工作在金融行业中的具体类别),5.Please select the specific category in which your job falls within the Internet industry (请选择您的工作在互联网行业中的具体类别),Finance_type,Internet_type
female,Shenzhen,Internet,No,,Ask for help,Yes,"Gender, Education",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
female,Shanghai,Finance,No,,No action,Yes,"Age, Education",C.保险类（财产保险、保险内勤、理赔、精算师、保险销售、理财顾问、查勘定损、车险等）,,C,
male,Shanghai,Internet,No,,Ask for help,Yes,"Gender, Education",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Shanghai,Finance,Yes,"Gender, Education",No action,Yes,"Gender, Age, Health",B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Beijing,Finance,Yes,Age ,No action,Unsure,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
male,Shenzhen,Internet,No,,No action,Yes,"Gender, Education",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
female,Shenzhen,Internet,Yes,"Age, Education, Health",Other,No,,,E.产品类（产品经理、产品助理、产品运营等）,,E
female,Shenzhen,Internet,No,,Ask for help,Yes,"Gender, Education",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
female,Shenzhen,Internet,Yes,"Gender, Age, Education",Ask for help,Yes,"Gender, Health",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
female,Guangzhou,Finance,Yes,"Age, Education",Ask for help,No,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
male,Shenzhen,Finance,Yes,"Age, Health",Ask for help,No,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
male,Beijing,Internet,No,,No action,Yes,"Age, Education",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Shenzhen,Internet,Yes,"Gender, Age",Ask for help,Yes,"Gender, Age",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
female,Guangzhou,Internet,Yes,"Age, Education",Ask for help,Unsure,,,D.工程类（电气工程师、电子工程师、PLC测试工程师、设备工程师、硬件工程师、结构工程师、工艺工程师等）,,D
male,Shenzhen,Internet,Yes,Gender,No action,Yes,"Gender, Education, Health",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Shenzhen,Internet,Yes,Age ,No action,Yes,"Gender, Age",,E.产品类（产品经理、产品助理、产品运营等）,,E
female,Shanghai,Finance,Yes,Gender,Ask for help,Unsure,,B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
female,Shanghai,Internet,Yes,Gender,Ask for help,Yes,"Gender, Education",,C.数据类（数据开发、数据分析师、数据架构、深度学习、人工智能、区块链等）,,C
male,Shanghai,Finance,No,,No action,Unsure,,B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Shenzhen,Internet,Yes,Gender,No action,Yes,"Gender, Education",,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
female,Guangzhou,Finance,No,,Ask for help,No,,B.银行类（银行柜员、银行销售、信审、信用卡、贷款、汽车金融等）,,B,
male,Shenzhen,Internet,Yes,"Gender, Age",No action,Yes,"Gender, Education",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
male,Guangzhou,Internet,Yes,Age ,No action,Unsure,,,C.数据类（数据开发、数据分析师、数据架构、深度学习、人工智能、区块链等）,,C
female,Shenzhen,Internet,No,,Other,No,,,B.设计类（UI设计师、美工等）,,B
female,Shanghai,Internet,Yes,"Gender, Education, Health",Ask for help,No,,,F.运营类（新媒体运营、运营专员、淘宝运营、天猫运营、淘宝客服、游戏运营等）,,F
male,Beijing,Finance,No,,Other,No,,A.投资类（投资经理、风控、催收、证券、交易员、期货、操盘手、基金、股票、投资顾问、信托、典当、担保、权证等）,,A,
female,Shenzhen,Internet,Yes,"Gender, Health",Other,Yes,"Gender, Education",,D.工程类（电气工程师、电子工程师、PLC测试工程师、设备工程师、硬件工程师、结构工程师、工艺工程师等）,,D
male,Shenzhen,Internet,Yes,Age ,No action,Yes,"Gender, Age, Health",,D.工程类（电气工程师、电子工程师、PLC测试工程师、设备工程师、硬件工程师、结构工程师、工艺工程师等）,,D
male,Shenzhen,Finance,Yes,Gender,No action,No,,C.保险类（财产保险、保险内勤、理赔、精算师、保险销售、理财顾问、查勘定损、车险等）,,C,
male,Hangzhou,Internet,No,,Ask for help,No,,,D.工程类（电气工程师、电子工程师、PLC测试工程师、设备工程师、硬件工程师、结构工程师、工艺工程师等）,,D
male,Shenzhen,Internet,Yes,"Gender, Age",No action,Yes,"Gender, Health",,A.开发类（Java开发、PHP、Python、Android、Hadoop、Node.js等）,,A
female,Hangzhou,Internet,No,,Ask for help,Yes,"Gender, Age",,C.数据类（数据开发、数据分析师、数据架构、深度学习、人工智能、区块链等）,,C
